year,rank,Team,recruiting.points
2019,128,Louisiana Monroe,119.38
2019,129,Bowling Green,115.37
2019,130,Princeton,115.29
2019,131,Stephen F. Austin,113.58
2019,132,Charlotte,112.69
2019,133,Texas State,111.1
2019,134,Yale,110.17
2019,135,Liberty,108.39
2019,136,Central Arkansas,106.84
2019,137,Idaho,99.19
2019,138,Eastern Washington,94.76
2019,139,Mercer,92.53
2019,140,Eastern Kentucky,90.32
2019,141,UC Davis,90.14
2019,142,North Dakota State,86.93
2019,144,Northern Arizona,84.4
2019,145,Jacksonville State,79.23
2019,146,Idaho State,72.23
2019,147,James Madison,70.12
2019,148,Montana,69.85
2019,149,Illinois State,69.17
2019,150,Kennesaw State,69.12
2019,151,Montana State,66.92
2019,152,Western Carolina,65.38
2019,153,Northern Iowa,62.42
2019,155,Southern Utah,58.28
2019,156,Texas Southern,56.43
2019,157,UT Martin,55.08
2019,158,Pennsylvania,54.99
2019,159,Murray State,54.92
2019,160,Dartmouth,54.85
2019,161,Holy Cross,51.84
2019,162,Southern,51.2
2019,163,Sam Houston State,48.49
2019,164,Houston Christian,47.53
2019,165,Austin Peay,46.22
2019,166,Georgetown,45.58
2019,168,Howard,43.12
2019,169,Grand Valley State,41.63
2019,170,McNeese,39.93
2019,171,Weber State,39.26
2019,173,Eastern Illinois,37.39
2019,175,Lamar,35.77
2019,176,Delaware,35.61
2019,177,Richmond,35.42
2019,178,Chattanooga,34.93
2019,179,Cal Poly,34.79
2019,180,Furman,34.69
2019,181,Nicholls,33.85
2019,183,Tennessee State,33.09
2019,184,East Tennessee State,32.91
2019,185,New Hampshire,32.54
2019,186,Fordham,32.49
2019,187,Indiana State,32.33
2019,188,Morgan State,31.01
2019,189,Villanova,30.97
2019,190,Wofford,30.95
2019,191,Prairie View,30.85
2019,192,Southeastern Louisiana,30.71
2019,193,Sacramento State,29.38
2019,194,Southern Illinois,29.2
2019,196,North Dakota,27.5
2019,197,Northern Colorado,27.42
2019,198,San Diego,27.37
2019,199,North Carolina Central,24.99
2019,200,South Dakota,24.59
2019,201,Southeast Missouri State,24.44
2019,202,Stony Brook,24.3
2019,205,Maine,22.07
2019,206,Alcorn State,21.58
2019,207,Missouri State,21.02
2019,210,Rhode Island,20.03
2019,211,North Carolina A&T,19.69
2019,212,Northwestern State,19.61
2019,213,Samford,18.9
2019,214,South Dakota State,17.82
2019,216,The Citadel,17.36
2019,218,Arkansas-Pine Bluff,16.4
2019,220,Elon,16.08
2019,221,William & Mary,15.95
2019,222,Bucknell,14.96
2019,225,Youngstown State,13.33
2019,226,Colgate,13.03
2019,228,Monmouth,11.98
2019,229,Alabama A&M,11.61
2019,230,Bethune-Cookman,11.54
2019,231,Hampton,11.0
2019,232,Grambling,10.64
2019,234,Florida A&M,9.93
2019,235,Charleston Southern,9.03
2019,236,Albany,8.92
2019,237,Lafayette,8.42
2019,238,Alabama State,7.97
2019,240,Duquesne,7.52
2019,241,Gardner-Webb,6.3
2019,247,Tennessee Tech,4.96
2020,1,Georgia,313.34
2020,2,Alabama,310.44
2020,3,Clemson,309.73
2020,4,LSU,300.54
2020,5,Ohio State,295.08
2020,6,Texas A&M,289.49
2020,7,Auburn,274.6
2020,8,Florida,272.99
2020,9,Texas,270.93
2020,10,Tennessee,261.5
2020,11,Oklahoma,259.6
2020,12,Oregon,259.49
2020,13,Miami,256.71
2020,14,Michigan,256.34
2020,15,Penn State,256.05
2020,16,Washington,252.35
2020,17,Notre Dame,251.45
2020,18,South Carolina,250.12
2020,19,North Carolina,246.65
2020,20,Nebraska,240.27
2020,21,Stanford,238.62
2020,22,Florida State,238.41
2020,23,Kentucky,229.87
2020,24,Arizona State,229.47
2020,25,Wisconsin,225.54
2020,26,Georgia Tech,222.73
2020,27,Mississippi State,220.24
2020,28,TCU,215.88
2020,29,Utah,212.32
2020,30,Arkansas,212.16
2020,31,Maryland,209.67
2020,32,UCLA,208.42
2020,33,Purdue,208.38
2020,34,Ole Miss,204.07
2020,35,Iowa,203.81
2020,36,Colorado,203.17
2020,37,West Virginia,199.77
2020,38,Minnesota,199.35
2020,39,California,198.0
2020,40,Cincinnati,194.95
2020,41,NC State,194.78
2020,42,Louisville,194.46
2020,43,Michigan State,193.32
2020,44,Pittsburgh,192.65
2020,45,Oklahoma State,192.35
2020,46,Iowa State,190.9
2020,47,Northwestern,190.69
2020,48,Virginia,185.57
2020,49,Texas Tech,183.17
2020,50,Missouri,182.85
2020,51,Kansas State,182.46
2020,52,Vanderbilt,182.21
2020,53,Oregon State,182.12
2020,54,Baylor,181.12
2020,55,USC,181.01
2020,56,Washington State,179.28
2020,57,Kansas,178.97
2020,58,Indiana,177.39
2020,59,Syracuse,175.88
2020,60,Wake Forest,173.82
2020,61,Duke,171.72
2020,62,Arizona,170.89
2020,63,Boston College,170.36
2020,64,Rutgers,170.14
2020,65,Boise State,167.92
2020,66,Tulane,165.84
2020,67,Memphis,165.67
2020,68,North Texas,164.56
2020,69,Toledo,164.2
2020,70,East Carolina,163.06
2020,71,UCF,162.97
2020,72,Virginia Tech,162.89
2020,73,Florida Atlantic,162.51
2020,74,Florida International,162.27
2020,75,Louisiana Tech,162.08
2020,76,Southern Mississippi,161.52
2020,77,UNLV,160.84
2020,78,BYU,159.91
2020,79,Louisiana,158.34
2020,80,Western Kentucky,157.37
2020,81,SMU,156.95
2020,82,Houston,155.32
2020,83,Appalachian State,154.59
2020,84,Troy,154.47
2020,85,Bowling Green,154.4
2020,86,Western Michigan,153.11
2020,87,Illinois,152.9
2020,88,Charlotte,152.55
2020,89,Miami (OH),150.61
2020,90,Middle Tennessee,150.6
2020,91,Northern Illinois,149.69
2020,92,Arkansas State,148.75
2020,93,Rice,147.7
2020,94,Old Dominion,146.75
2020,95,Liberty,146.5
2020,96,Marshall,146.14
2020,97,Temple,145.3
2020,98,Georgia Southern,145.22
2020,99,Texas State,145.19
2020,100,UMass,145.02
2020,101,South Florida,142.97
2020,102,Colorado State,142.8
2020,103,UAB,142.57
2020,104,San Diego State,142.57
2020,105,UT San Antonio,142.53
2020,106,New Mexico,142.34
2020,107,Air Force,142.11
2020,108,Kent State,141.52
2020,109,South Alabama,140.54
2020,110,Georgia State,140.52
2020,111,Army,139.43
2020,112,Tulsa,138.25
2020,113,Wyoming,138.13
2020,114,San José State,137.42
2020,115,Eastern Michigan,136.77
2020,116,Coastal Carolina,136.61
2020,117,Utah State,134.5
2020,118,Connecticut,134.27
2020,119,Nevada,132.46
2020,120,Louisiana Monroe,132.3
2020,121,Fresno State,131.51
2020,122,Ball State,131.5
2020,123,Central Michigan,130.86
2020,124,Princeton,129.51
2020,125,Akron,129.48
2020,126,Navy,128.76
2020,127,Hawai'i,124.35
2020,128,Eastern Washington,117.96
2020,129,Ohio,116.96
2020,130,Buffalo,114.94
2020,131,UTEP,114.47
2020,132,New Mexico State,108.54
2020,133,Montana State,101.69
2020,134,Idaho,96.43
2020,135,Cal Poly,94.88
2020,136,UC Davis,93.33
2020,137,Sacramento State,89.88
2020,139,Northern Arizona,86.06
2020,140,Harvard,77.67
2020,141,North Dakota State,77.43
2020,142,Stephen F. Austin,77.21
2020,145,Villanova,69.37
2020,146,Northern Iowa,69.28
2020,147,Yale,66.61
2020,148,Dartmouth,64.97
2020,149,Columbia,62.05
2020,150,Central Arkansas,61.89
2020,151,Eastern Kentucky,60.5
2020,152,Rhode Island,57.83
2020,153,Illinois State,56.34
2020,154,Kennesaw State,55.15
2020,155,Montana,51.3
2020,157,Pennsylvania,50.08
2020,158,Furman,43.15
2020,159,Eastern Illinois,42.77
2020,161,Portland State,41.99
2020,162,Holy Cross,41.97
2020,163,Georgetown,40.93
2020,164,Missouri State,39.43
2020,165,Idaho State,39.12
2020,166,Elon,36.99
2020,167,Northern Colorado,36.46
2020,168,East Tennessee State,35.94
2020,170,James Madison,35.08
2020,172,Davidson,34.64
2020,173,Southeastern Louisiana,34.04
2020,175,Tennessee State,32.21
2020,176,South Dakota,29.87
2020,177,Western Carolina,29.45
2020,179,Mercer,28.8
2020,180,Brown,28.57
2020,182,San Diego,27.65
2020,183,Youngstown State,27.25
2020,184,Sam Houston State,26.54
2020,186,UT Martin,24.03
2020,188,Western Illinois,23.72
2020,190,Hampton,22.89
2020,192,Stony Brook,22.7
2020,193,Grambling,22.25
2020,194,South Dakota State,22.07
2020,195,Fordham,21.45
2020,196,Samford,21.2
2020,198,Houston Christian,20.55
2020,199,Delaware,20.1
2020,200,VMI,20.05
2020,201,Bucknell,19.97
2020,203,Wofford,19.41
2020,204,Austin Peay,17.16
2020,208,Indiana State,16.73
2020,209,Arkansas-Pine Bluff,16.53
2020,210,Jacksonville State,16.49
2020,211,Cornell,15.89
2020,218,North Dakota,12.79
2020,219,North Carolina Central,12.65
2020,220,Alcorn State,12.65
2020,225,North Carolina A&T,11.52
2020,228,Campbell,10.98
2020,229,Richmond,9.98
2020,230,Southern Illinois,9.91
2020,232,Bryant,8.98
2020,233,Southeast Missouri State,8.97
2020,236,Texas Southern,8.97
2020,239,Lehigh,6.97
2020,240,Lafayette,6.97
2020,242,Marist,6.3
2020,245,Colgate,4.97
2021,1,Alabama,327.91
2021,2,Ohio State,309.49
2021,3,Georgia,294.55
2021,4,LSU,291.37
2021,5,Clemson,291.2
2021,6,Oregon,287.38
2021,7,Texas A&M,285.35
2021,8,USC,280.72
2021,9,Notre Dame,269.15
2021,10,Michigan,268.77
2021,11,Oklahoma,267.92
2021,12,Miami,263.12
2021,13,Florida,261.62
2021,14,North Carolina,253.91
2021,15,Wisconsin,240.8
2021,16,Tennessee,240.4
2021,17,Texas,237.09
2021,18,Ole Miss,234.56
2021,19,Maryland,230.29
2021,20,Nebraska,216.5
2021,21,Penn State,216.43
2021,22,Florida State,214.97
2021,23,Iowa,213.89
2021,24,Arkansas,213.19
2021,25,Mississippi State,210.6
2021,26,Pittsburgh,210.45
2021,27,Missouri,210.28
2021,28,California,209.2
2021,29,UCLA,206.5
2021,30,Auburn,205.63
2021,31,Virginia,205.33
2021,32,Kentucky,205.02
2021,33,Utah,203.23
2021,34,NC State,202.42
2021,35,Washington,201.78
2021,36,Boston College,201.66
2021,37,Minnesota,199.4
2021,38,Louisville,198.01
2021,39,Oklahoma State,196.26
2021,40,West Virginia,195.07
2021,41,Rutgers,191.67
2021,42,Cincinnati,190.66
2021,43,Michigan State,190.6
2021,44,Baylor,190.18
2021,45,Virginia Tech,189.84
2021,46,Memphis,187.31
2021,47,Georgia Tech,186.82
2021,48,Arizona State,185.98
2021,49,Vanderbilt,184.46
2021,50,Northwestern,184.3
2021,51,Stanford,183.58
2021,52,Kansas,183.13
2021,53,SMU,181.61
2021,54,Indiana,177.78
2021,55,UCF,177.69
2021,56,Kansas State,176.98
2021,57,Syracuse,176.5
2021,58,Duke,176.16
2021,59,Iowa State,175.58
2021,60,Washington State,172.58
2021,61,TCU,171.83
2021,62,San Diego State,169.98
2021,63,South Florida,167.63
2021,64,Texas Tech,167.13
2021,65,Colorado,167.11
2021,66,Wake Forest,165.75
2021,67,Toledo,163.18
2021,68,UNLV,161.89
2021,69,Appalachian State,161.14
2021,70,Boise State,161.13
2021,71,BYU,159.77
2021,72,Purdue,159.72
2021,73,Illinois,159.12
2021,74,Fresno State,159.11
2021,75,Arizona,157.25
2021,76,South Carolina,157.05
2021,77,Tulane,156.56
2021,78,UT San Antonio,154.8
2021,79,Louisiana,154.78
2021,80,North Texas,153.89
2021,81,Houston,153.47
2021,82,Florida Atlantic,153.21
2021,83,Florida International,152.13
2021,84,Coastal Carolina,150.67
2021,85,Jackson State,147.9
2021,86,Nevada,146.32
2021,87,Central Michigan,146.12
2021,88,Miami (OH),146.03
2021,89,Colorado State,144.67
2021,90,Air Force,144.16
2021,91,Northern Illinois,142.59
2021,92,Georgia Southern,141.76
2021,93,Rice,141.39
2021,94,New Mexico,140.75
2021,95,Ball State,140.07
2021,96,East Carolina,139.28
2021,97,Western Michigan,139.11
2021,98,Buffalo,137.78
2021,99,Ohio,137.6
2021,100,Old Dominion,135.74
2021,101,Charlotte,134.83
2021,102,Georgia State,134.55
2021,103,Bowling Green,133.73
2021,104,Troy,133.65
2021,105,Temple,132.83
2021,106,Arkansas State,132.61
2021,107,Navy,131.51
2021,108,Oregon State,131.45
2021,109,Army,131.27
2021,110,Wyoming,130.41
2021,111,Liberty,129.14
2021,112,Eastern Michigan,128.54
2021,113,Louisiana Monroe,127.64
2021,114,New Mexico State,126.9
2021,115,Connecticut,125.11
2021,116,UAB,123.44
2021,117,UMass,121.74
2021,118,Kent State,119.36
2021,119,Akron,113.25
2021,120,San José State,112.81
2021,121,Louisiana Tech,108.45
2021,122,South Alabama,107.68
2021,123,Middle Tennessee,107.22
2021,124,Southern Mississippi,104.36
2021,125,Marshall,101.55
2021,126,Tulsa,97.89
2021,127,Hawai'i,90.15
2021,128,Northern Arizona,80.92
2021,129,Harvard,70.08
2021,130,Princeton,69.11
2021,131,Cal Poly,62.42
2021,132,Idaho,62.38
2021,133,Yale,61.37
2021,134,UTEP,60.62
2021,135,Utah State,55.32
2021,136,Western Kentucky,49.62
2021,138,Eastern Washington,48.13
2021,139,Pennsylvania,47.87
2021,140,James Madison,46.14
2021,141,Lamar,39.38
2021,142,North Carolina A&T,38.9
2021,143,Northern Iowa,37.22
2021,144,Stephen F. Austin,36.77
2021,145,UC Davis,31.22
2021,146,Central Arkansas,30.3
2021,147,Georgetown,29.42
2021,148,Samford,28.48
2021,149,Howard,27.3
2021,150,Morgan State,26.96
2021,151,South Dakota,25.25
2021,152,Montana State,24.7
2021,153,Southern Utah,24.64
2021,154,Grambling,24.49
2021,155,Austin Peay,24.23
2021,156,Tennessee Tech,21.96
2021,157,Kennesaw State,20.61
2021,158,Charleston Southern,19.5
2021,159,Columbia,18.29
2021,160,Jacksonville State,16.83
2021,161,Sacramento State,16.08
2021,162,Brown,15.57
2021,163,Alabama A&M,15.36
2021,164,Lehigh,14.77
2021,165,Prairie View,14.18
2021,166,North Dakota,13.76
2021,167,Sam Houston State,13.67
2021,168,William & Mary,13.3
2021,169,McNeese,13.17
2021,170,Tennessee State,13.15
2021,172,Southern Illinois,12.65
2021,173,Western Carolina,12.61
2021,174,Maine,12.51
2021,175,Chattanooga,12.15
2021,176,Duquesne,12.14
2021,177,Texas Southern,11.04
2021,178,Towson,10.54
2021,179,Villanova,10.53
2021,180,Northwestern State,10.53
2021,181,Holy Cross,10.14
2021,182,Lafayette,10.14
2021,183,Texas State,9.46
2021,184,San Diego,9.32
2021,185,Gardner-Webb,8.92
2021,186,Rhode Island,8.92
2021,187,Fordham,8.69
2021,188,Northern Colorado,8.31
2021,189,Albany,7.31
2021,190,Montana,7.3
2021,191,Portland State,7.3
2021,192,Campbell,6.8
2021,193,Wofford,5.8
2022,1,Texas A&M,333.13
2022,2,Alabama,322.25
2022,3,Georgia,318.34
2022,4,Ohio State,300.95
2022,5,Texas,289.04
2022,6,Penn State,278.66
2022,7,Notre Dame,275.44
2022,8,Oklahoma,266.73
2022,9,Michigan,262.13
2022,10,Clemson,260.87
2022,11,North Carolina,258.5
2022,12,LSU,245.76
2022,13,Oregon,243.37
2022,14,Kentucky,240.16
2022,15,Missouri,236.92
2022,16,Miami,235.03
2022,17,Florida,232.99
2022,18,Tennessee,232.77
2022,19,Stanford,229.74
2022,20,Florida State,229.46
2022,21,Auburn,229.35
2022,22,Arizona,224.38
2022,23,Ole Miss,222.38
2022,24,Michigan State,221.83
2022,25,South Carolina,220.16
2022,26,Indiana,219.8
2022,27,Mississippi State,219.45
2022,28,Arkansas,217.69
2022,29,Oklahoma State,217.39
2022,30,Iowa,215.05
2022,31,Maryland,213.62
2022,32,Vanderbilt,212.11
2022,33,Rutgers,210.07
2022,34,Utah,209.71
2022,35,West Virginia,209.05
2022,36,Virginia Tech,208.77
2022,37,Baylor,208.03
2022,38,Purdue,206.4
2022,39,Iowa State,205.08
2022,40,Boston College,202.55
2022,41,Nebraska,198.64
2022,42,Cincinnati,197.75
2022,43,Texas Tech,197.4
2022,44,Wisconsin,194.42
2022,45,TCU,194.07
2022,46,Illinois,192.59
2022,47,Colorado,192.38
2022,48,Northwestern,191.62
2022,49,Minnesota,189.38
2022,50,Houston,187.64
2022,51,Louisville,187.58
2022,52,Duke,186.78
2022,53,UCF,186.37
2022,54,Georgia Tech,184.81
2022,55,BYU,181.5
2022,56,Oregon State,181.41
2022,57,Marshall,176.47
2022,58,Memphis,176.39
2022,59,California,175.53
2022,60,Washington State,175.48
2022,61,UCLA,175.37
2022,62,Boise State,174.52
2022,63,Kansas State,173.32
2022,64,NC State,171.26
2022,65,San Diego State,168.39
2022,66,Virginia,166.85
2022,67,Arkansas State,166.63
2022,68,Syracuse,166.16
2022,69,Coastal Carolina,165.67
2022,70,USC,165.48
2022,71,Wake Forest,164.19
2022,72,Fresno State,163.46
2022,73,UT San Antonio,162.04
2022,74,Tulane,160.73
2022,75,San José State,157.03
2022,76,Pittsburgh,153.09
2022,77,Miami (OH),152.97
2022,78,Colorado State,152.84
2022,79,Southern Mississippi,152.38
2022,80,Utah State,152.31
2022,81,Buffalo,147.86
2022,82,SMU,146.38
2022,83,Appalachian State,144.67
2022,84,Central Michigan,144.51
2022,85,East Carolina,143.29
2022,86,UAB,142.49
2022,87,Northern Illinois,142.15
2022,88,Louisiana Tech,140.27
2022,89,Campbell,137.24
2022,90,Kent State,136.64
2022,91,South Florida,136.48
2022,92,Toledo,134.89
2022,93,Wyoming,133.87
2022,94,Western Kentucky,129.6
2022,95,Temple,129.57
2022,96,Washington,129.55
2022,97,Ball State,127.25
2022,98,Liberty,126.37
2022,99,New Mexico,124.26
2022,100,Georgia State,124.06
2022,102,UNLV,121.78
2022,103,Arizona State,120.17
2022,104,South Alabama,119.39
2022,105,Western Michigan,119.04
2022,106,Old Dominion,118.85
2022,107,Charlotte,117.06
2022,108,New Mexico State,117.0
2022,109,Bowling Green,115.82
2022,110,Georgia Southern,115.78
2022,111,Louisiana,115.71
2022,112,Tulsa,113.34
2022,113,Connecticut,112.35
2022,114,Air Force,110.12
2022,115,Nevada,108.19
2022,116,Kansas,106.28
2022,117,UMass,105.95
2022,118,North Texas,102.95
2022,119,Rice,102.87
2022,120,Middle Tennessee,102.04
2022,121,Sam Houston State,101.32
2022,122,Jackson State,100.92
2022,123,Grambling,96.14
2022,124,Florida Atlantic,94.73
2022,125,Central Arkansas,90.76
2022,126,Hawai'i,84.97
2022,127,Akron,81.7
2022,128,Eastern Michigan,77.97
2022,129,UTEP,77.74
2022,130,Troy,65.19
2022,131,Princeton,56.25
2022,132,Ohio,53.67
2022,133,Texas State,51.34
2022,134,Louisiana Monroe,49.36
2022,135,North Dakota State,46.49
2022,136,Harvard,46.06
2022,137,Murray State,41.85
2022,138,Navy,41.48
2022,139,Grand Valley State,36.11
2022,140,Florida A&M,32.58
2022,141,Northern Arizona,32.26
2022,142,Youngstown State,30.85
2022,143,Austin Peay,30.6
2022,144,South Carolina State,28.97
2022,145,Yale,28.75
2022,146,Southeastern Louisiana,28.48
2022,148,Idaho,27.31
2022,149,Northern Iowa,26.87
2022,150,Jacksonville State,25.39
2022,151,Southern Illinois,25.26
2022,152,Eastern Washington,24.93
2022,153,Western Carolina,24.04
2022,154,Portland State,23.86
2022,155,Chattanooga,23.66
2022,156,James Madison,21.94
2022,157,Eastern Kentucky,19.26
2022,158,Army,18.34
2022,159,Georgetown,17.56
2022,160,East Tennessee State,16.89
2022,161,Northwestern State,15.78
2022,162,Tennessee Tech,14.17
2022,162,Howard,14.17
2022,165,Missouri State,13.67
2022,167,Western Illinois,13.0
2022,168,UC Davis,12.81
2022,169,Monmouth,12.67
2022,169,Sacramento State,12.67
2022,171,Lehigh,12.56
2022,172,Pennsylvania,12.28
2022,173,Weber State,12.17
2022,173,Villanova,12.17
2022,173,Furman,12.17
2022,177,Southeast Missouri State,11.67
2022,177,Lamar,11.67
2022,179,North Carolina A&T,11.17
2022,179,Alabama A&M,11.17
2022,179,North Carolina Central,11.17
2022,182,Richmond,10.89
2022,183,Rhode Island,10.67
2022,184,UT Martin,10.44
2022,185,Towson,10.06
2022,186,The Citadel,9.89
2022,188,Stephen F. Austin,9.44
2022,189,Bucknell,8.83
2022,190,Montana State,8.33
2023,1,Alabama,328.0
2023,2,Georgia,315.68
2023,3,Texas,306.31
2023,4,Oklahoma,289.03
2023,5,Ohio State,288.98
2023,6,LSU,288.7
2023,7,Miami,284.64
2023,8,USC,280.44
2023,9,Oregon,278.44
2023,10,Tennessee,277.0
2023,11,Clemson,273.39
2023,12,Notre Dame,272.74
2023,13,Florida,271.43
2023,14,Penn State,270.1
2023,15,Texas A&M,268.85
2023,16,South Carolina,256.14
2023,17,Michigan,245.13
2023,18,Auburn,242.9
2023,19,Florida State,237.15
2023,20,Utah,236.08
2023,21,TCU,235.07
2023,22,Arkansas,228.3
2023,23,Ole Miss,227.96
2023,24,Michigan State,224.87
2023,25,Nebraska,224.12
2023,26,Washington,223.92
2023,27,Mississippi State,222.92
2023,28,Texas Tech,222.02
2023,29,Colorado,219.75
2023,30,North Carolina,219.35
2023,31,Louisville,217.99
2023,32,Kentucky,212.42
2023,33,Kansas State,212.31
2023,34,Missouri,211.13
2023,35,Baylor,210.79
2023,36,Maryland,206.46
2023,37,UCLA,206.15
2023,38,Illinois,205.64
2023,39,Virginia Tech,205.58
2023,40,Arizona,204.72
2023,41,Iowa,204.36
2023,42,Iowa State,204.14
2023,43,NC State,204.08
2023,44,Arizona State,201.23
2023,45,Minnesota,201.22
2023,46,Stanford,200.94
2023,47,Northwestern,200.11
2023,48,West Virginia,199.09
2023,49,Oregon State,198.88
2023,50,UCF,196.98
2023,51,Pittsburgh,196.32
2023,52,Vanderbilt,195.39
2023,53,Wake Forest,193.23
2023,54,Oklahoma State,193.19
2023,55,Houston,191.97
2023,56,Duke,191.8
2023,57,Rutgers,190.36
2023,58,Wisconsin,188.21
2023,59,UT San Antonio,187.6
2023,60,Memphis,186.18
2023,61,Boston College,185.3
2023,62,Georgia Tech,185.2
2023,63,Washington State,184.96
2023,64,Virginia,180.69
2023,65,East Carolina,180.54
2023,66,BYU,179.88
2023,67,Boise State,179.7
2023,68,Purdue,179.36
2023,69,Indiana,177.6
2023,70,Colorado State,176.09
2023,71,Tulane,172.87
2023,72,SMU,171.15
2023,73,Kansas,169.88
2023,74,Arkansas State,168.05
2023,75,Cincinnati,167.89
2023,76,South Florida,165.19
2023,77,Louisiana Tech,163.34
2023,78,San Diego State,163.05
2023,79,California,162.74
2023,80,Appalachian State,161.99
2023,81,Southern Mississippi,161.48
2023,82,Florida Atlantic,161.44
2023,83,Fresno State,161.0
2023,84,Buffalo,160.65
2023,85,Temple,160.16
2023,86,Rice,159.14
2023,87,Eastern Michigan,158.7
2023,88,Syracuse,156.73
2023,89,Louisiana,155.69
2023,90,South Alabama,154.95
2023,91,Central Michigan,153.75
2023,92,UAB,149.23
2023,93,Campbell,148.06
2023,94,Troy,147.8
2023,95,Florida International,147.71
2023,96,Sam Houston State,141.34
2023,97,Ohio,140.79
2023,98,Texas State,139.15
2023,99,North Texas,137.98
2023,100,Utah State,133.96
2023,101,Georgia Southern,131.86
2023,102,Toledo,131.66
2023,103,Northern Illinois,131.18
2023,104,Air Force,130.58
2023,105,Miami (OH),129.81
2023,106,Western Michigan,129.14
2023,107,Nevada,126.82
2023,108,Ball State,126.78
2023,109,Akron,121.18
2023,110,Wyoming,120.69
2023,111,Liberty,120.52
2023,112,San José State,118.01
2023,113,New Mexico State,116.57
2023,114,Coastal Carolina,113.66
2023,115,Tulsa,113.39
2023,116,Georgia State,111.43
2023,117,Hawai'i,111.34
2023,118,Army,110.02
2023,119,Bowling Green,103.84
2023,120,Middle Tennessee,100.8
2023,121,UTEP,100.59
2023,122,Old Dominion,95.13
2023,123,Kent State,81.64
2023,124,Connecticut,80.21
2023,125,Marshall,77.8
2023,126,Louisiana Monroe,73.66
2023,127,UMass,72.64
2023,128,New Mexico,72.37
2023,129,Charlotte,69.14
